#tail	head	KSP index
SRC	P08069	1
SRC	P16473	2
P08069	P16473	3
P08069	P29353	4
P08069	P40763	5
P08069	P42336	6
P08069	P27986	7
P08069	O00459	8
P08069	O14543	9
P16473	P08069	10
P16473	Q9Y2W7	11
P16473	P40763	12
P16473	P27986	13
P16473	P23458	14
P16473	O60674	15
P16473	P11021	16
Q9Y2W7	P16473	17
Q9Y2W7	SNK	18
P40763	P08069	19
P40763	P27986	20
P40763	P16473	21
P40763	O00459	22
P40763	SNK	23
P27986	O00459	24
P27986	P25963	25
P27986	P42336	26
P27986	P16473	27
P27986	P40763	28
P27986	P29353	29
P23458	P16473	30
P23458	P04049	31
P23458	P29353	32
P23458	P40763	33
P23458	O00459	34
P23458	P27986	35
P23458	O60674	36
P23458	P42336	37
P23458	O14543	38
O60674	P16473	39
O60674	P29353	40
O60674	P40763	41
O60674	P23458	42
O60674	O00459	43
O60674	P27986	44
O60674	P42336	45
P11021	P16473	46
P11021	Q15653	47
P11021	P25963	48
P11021	P11142	49
Q15653	P17612	50
Q15653	P11142	51
Q15653	P25963	52
Q15653	P11021	53
Q15653	SNK	54
P25963	P15336	55
P25963	P27986	56
P25963	Q15653	57
P25963	P11142	58
P25963	P11021	59
P25963	SNK	60
P11142	P25963	61
P11142	Q15653	62
P11142	P11021	63
P17612	P25963	64
P17612	P15336	65
P17612	Q16539	66
P17612	P04049	67
P17612	Q15653	68
P15336	P06400	69
P15336	P25963	70
P15336	SNK	71
O00459	P42336	72
O00459	P27986	73
O00459	P29353	74
O00459	P40763	75
P42336	P27986	76
P42336	P40763	77
P42336	O00459	78
P29353	O00459	79
P29353	P27986	80
O14543	P08069	81
O14543	P40763	82
O14543	P23458	83
O14543	O60674	84
P04049	P25963	85
P04049	P42336	86
P04049	P27986	87
P04049	P06400	88
P04049	O00459	89
P04049	P23458	90
P04049	Q16539	91
P06400	P15336	92
P06400	Q16539	93
P06400	P04049	94
P06400	SNK	95
Q16539	P15336	96
Q16539	P17612	97
Q16539	P06400	98
